,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9949031600407747,0.9920983318700615,0.991270611057226,0.9940535183349851,0.9878787878787879,0.9899328859060402,0.9947257383966245,0.9816425120772947,0.9979381443298969,0.9940179461615155,0.9918,0.9918461636053207,0.9918170751620743
recall,0.9959183673469387,0.9955947136563876,0.9903100775193798,0.9930693069306931,0.9959266802443992,0.992152466367713,0.9843423799582464,0.9883268482490273,0.9938398357289527,0.9881070366699702,0.9918,0.9917587712671707,0.9918
f1-score,0.9954105048444671,0.9938434476693052,0.9907901114881241,0.9935611688954928,0.9918864097363083,0.9910414333706606,0.9895068205666316,0.984973339796413,0.9958847736625515,0.9910536779324056,0.9918,0.9917951687962361,0.9918013254414784
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9918,10000.0,10000.0
