,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.994908350305499,0.9955869373345102,0.9932301740812379,0.9921026653504442,0.9938398357289527,0.9932735426008968,0.9958071278825996,0.9883833494675702,0.9989669421487604,0.984267453294002,0.993,0.9930366378194474,0.9930150281306409
recall,0.996938775510204,0.9938325991189427,0.9951550387596899,0.995049504950495,0.9857433808553971,0.9932735426008968,0.9916492693110647,0.9931906614785992,0.9928131416837782,0.9920713577799801,0.993,0.9929717272049048,0.993
f1-score,0.9959225280326198,0.9947089947089947,0.9941916747337851,0.9935739001482946,0.9897750511247444,0.9932735426008968,0.9937238493723849,0.9907811741872877,0.995880535530381,0.9881539980256664,0.993,0.9929985248465055,0.9930018854523983
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.993,10000.0,10000.0
