,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.982706002034588,0.9826388888888888,0.9777347531461762,0.9736842105263158,0.9886831275720165,0.9742152466367713,0.9802083333333333,0.9784735812133072,0.984375,0.975,0.9798,0.9797719143351395,0.9798143844857552
recall,0.9857142857142858,0.9973568281938326,0.9786821705426356,0.9891089108910891,0.9786150712830958,0.9742152466367713,0.9822546972860126,0.9727626459143969,0.9702258726899384,0.9663032705649157,0.9798,0.9795238999716973,0.9798
f1-score,0.9842078451349975,0.989943156974202,0.9782082324455206,0.981335952848723,0.9836233367451381,0.9742152466367713,0.9812304483837331,0.975609756097561,0.9772492244053774,0.9706321553011449,0.9798,0.9796255354973168,0.9797841684432332
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9798,10000.0,10000.0
