,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9898682877406282,0.9903508771929824,0.9855907780979827,0.985279685966634,0.9918200408997955,0.9899103139013453,0.9947201689545935,0.989247311827957,0.9937888198757764,0.9890764647467726,0.9899,0.9899652749204468,0.9899165235493008
recall,0.996938775510204,0.9947136563876652,0.9941860465116279,0.994059405940594,0.9877800407331976,0.9899103139013453,0.9832985386221295,0.9844357976653697,0.9856262833675564,0.9871159563924677,0.9899,0.9898064815032159,0.9899
f1-score,0.9933909506863243,0.9925274725274725,0.9898697539797395,0.9896500739280434,0.9897959183673469,0.9899103139013453,0.988976377952756,0.9868356899073623,0.9896907216494846,0.9880952380952381,0.9899,0.9898742510995113,0.9898966883030631
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9899,10000.0,10000.0
