,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9680638722554891,0.985191637630662,0.9825072886297376,0.984267453294002,0.9828801611278952,0.9842342342342343,0.9895068205666316,0.9970178926441352,0.9926854754440961,0.9731876861966237,0.9839,0.9839542522023507,0.983978196457449
recall,0.9897959183673469,0.9964757709251101,0.9796511627906976,0.9910891089108911,0.9938900203665988,0.9798206278026906,0.9843423799582464,0.97568093385214,0.9753593429158111,0.9712586719524281,0.9839,0.9837363937841961,0.9839
f1-score,0.9788092835519677,0.9908015768725361,0.9810771470160117,0.9876665022200296,0.9883544303797468,0.9820224719101124,0.9869178440607012,0.9862340216322517,0.983946141895391,0.9722222222222222,0.9839,0.983805164176097,0.9838987399447183
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9839,10000.0,10000.0
