,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9918533604887984,0.9895104895104895,0.9922405431619786,0.9891518737672583,0.9938962360122076,0.9887892376681614,0.9957850368809273,0.9903006789524733,0.9969040247678018,0.9930348258706467,0.9921,0.9921466307080744,0.9921100258407901
recall,0.9938775510204082,0.9973568281938326,0.9912790697674418,0.9930693069306931,0.994908350305499,0.9887892376681614,0.9864300626304802,0.9931906614785992,0.9917864476386037,0.9890981169474727,0.9921,0.9919785632581191,0.9921
f1-score,0.9928644240570846,0.9934181658622203,0.9917595734367426,0.991106719367589,0.9944020356234097,0.9887892376681614,0.9910854745673833,0.9917435648372996,0.9943386515697376,0.9910625620655412,0.9921,0.9920570409055169,0.9920993460201089
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9921,10000.0,10000.0
