,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9928644240570846,0.9903677758318739,0.9903006789524733,0.9853372434017595,0.9839357429718876,0.990990990990991,0.9968387776606955,0.9921875,0.9938335046248715,0.9929506545820745,0.9909,0.9909607293073712,0.9909265684199092
recall,0.9938775510204082,0.9964757709251101,0.9893410852713178,0.998019801980198,0.9979633401221996,0.9865470852017937,0.9874739039665971,0.9883268482490273,0.9928131416837782,0.977205153617443,0.9909,0.9908043682037873,0.9909
f1-score,0.9933707292197859,0.9934123847167325,0.9898206495395055,0.9916379734382685,0.9908998988877654,0.9887640449438202,0.9921342422653382,0.9902534113060428,0.9933230611196713,0.985014985014985,0.9909,0.9908631380451915,0.990893875590746
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9909,10000.0,10000.0
