epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.15090539822777113,0.9539,0.05344503016481176,0.9825,0.05
2,0.07417649739133195,0.9772833333333333,0.0410198245132342,0.9865,0.05
3,0.060016977015137675,0.9820666666666666,0.03962535420404747,0.9881,0.05
4,0.05407811709617575,0.9836,0.03161838596446905,0.989,0.05
5,0.051255544990176954,0.9839,0.026988941775728015,0.9909,0.05
6,0.04658544589889546,0.9854833333333334,0.030614849373418837,0.9899,0.05
7,0.04351709760893136,0.9862166666666666,0.028774343873932958,0.9896,0.05
8,0.04260644026249647,0.9870333333333333,0.02602362389084883,0.9909,0.05
9,0.038979858984363576,0.98745,0.025414709171326832,0.9918,0.05
10,0.038703882320473594,0.9880166666666667,0.023337493631080723,0.9918,0.05
11,0.03695831432789564,0.9886,0.025213714171596804,0.9912,0.05
12,0.03673112766433818,0.9878833333333333,0.029861419402586763,0.99,0.05
13,0.03475544614143049,0.9888,0.029825550580432174,0.9907,0.05
14,0.03247259516598036,0.9897166666666667,0.027752380173641723,0.9912,0.05
15,0.03292946289116517,0.98965,0.028898856248296214,0.9904,0.05
