,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9938712972420838,0.9929762949956101,0.9960899315738025,0.9863013698630136,0.9897435897435898,0.992108229988726,0.9905759162303664,0.9874396135265701,0.9948186528497409,0.9754901960784313,0.9899,0.9899415092091933,0.9899322531514004
recall,0.9928571428571429,0.9964757709251101,0.9874031007751938,0.998019801980198,0.9826883910386965,0.9865470852017937,0.9874739039665971,0.9941634241245136,0.9856262833675564,0.9861248761149654,0.9899,0.9897379780351768,0.9899
f1-score,0.9933639612046963,0.9947229551451188,0.991727493917275,0.9921259842519685,0.9862033725089423,0.9893198426082068,0.989022477783586,0.9907901114881241,0.9902011346054668,0.9807787087235091,0.9899,0.9898256042236895,0.9899019655831942
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9899,10000.0,10000.0
