epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.5235955553501844,0.8203833333333334,0.09265361051931978,0.9685,0.01
2,0.08167707412044208,0.9754166666666667,0.06064603506140411,0.9798,0.01
3,0.05911639546044171,0.9819333333333333,0.05039597463677637,0.9833,0.01
4,0.04844455100509028,0.9852833333333333,0.04034664888828993,0.9878,0.01
5,0.041586391874651116,0.9874,0.040090105793531984,0.9875,0.01
6,0.03577610270902514,0.9892166666666666,0.04439697937606834,0.9866,0.01
7,0.031793054965185,0.9899833333333333,0.03451891604766715,0.9885,0.01
8,0.02813742999675063,0.9911666666666666,0.04072441963944584,0.9879,0.01
9,0.024846482842617357,0.9920166666666667,0.034400784573843705,0.9901,0.01
10,0.02253925256875033,0.99265,0.029576518488442526,0.9905,0.01
11,0.019364469857731215,0.9939333333333333,0.039255860984505855,0.9885,0.01
12,0.017949129032778243,0.9939166666666667,0.04367893454089062,0.9876,0.01
13,0.016765412683218406,0.9943833333333333,0.04088775155169424,0.9891,0.01
14,0.014751247790900137,0.9951166666666666,0.03520241933361976,0.9896,0.01
15,0.013167866243387108,0.9958,0.03422341096669552,0.9899,0.01
