,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9928716904276986,0.9964664310954063,0.9932301740812379,0.9901768172888016,0.9969167523124358,0.9910514541387024,0.9936974789915967,0.9903006789524733,0.9907786885245902,0.9900793650793651,0.9926,0.9925569530892309,0.9926085733713617
recall,0.9948979591836735,0.9938325991189427,0.9951550387596899,0.998019801980198,0.9877800407331976,0.9932735426008968,0.9874739039665971,0.9931906614785992,0.9928131416837782,0.9890981169474727,0.9926,0.9925534806453046,0.9926
f1-score,0.9938837920489296,0.9951477723864137,0.9941916747337851,0.9940828402366864,0.9923273657289002,0.9921612541993281,0.9905759162303664,0.9917435648372996,0.9917948717948718,0.9895884977689638,0.9926,0.9925497549965545,0.9925988738500955
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9926,10000.0,10000.0
