,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9818913480885312,0.9929824561403509,0.9922555663117134,0.9910891089108911,0.994824016563147,0.9822222222222222,0.9957716701902748,0.9970472440944882,0.9846938775510204,0.9783251231527094,0.9892,0.9891102633225348,0.9892491472734175
recall,0.9959183673469387,0.9973568281938326,0.9932170542635659,0.9910891089108911,0.9786150712830958,0.9910313901345291,0.9832985386221295,0.9854085603112841,0.9907597535934292,0.9841427155599604,0.9892,0.9890837388219657,0.9892
f1-score,0.9888551165146909,0.9951648351648351,0.9927360774818402,0.9910891089108911,0.9866529774127311,0.9866071428571429,0.9894957983193278,0.9911937377690803,0.9877175025588536,0.9812252964426877,0.9892,0.989073759343208,0.9892017838125142
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9892,10000.0,10000.0
