,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9898477157360406,0.9938434476693052,0.9827586206896551,0.993993993993994,0.9959100204498977,0.9866071428571429,0.9884937238493724,0.98828125,0.9948400412796697,0.9891304347826086,0.9904,0.9903706391307686,0.9904178037871759
recall,0.9948979591836735,0.9955947136563876,0.9941860465116279,0.9831683168316832,0.9918533604887984,0.9910313901345291,0.9864300626304802,0.9844357976653697,0.9897330595482546,0.9920713577799801,0.9904,0.9903402064430786,0.9904
f1-score,0.9923664122137404,0.9947183098591549,0.9884393063583815,0.9885515181682429,0.9938775510204082,0.9888143176733781,0.987460815047022,0.98635477582846,0.9922799794132784,0.9905987135081643,0.9904,0.9903461699090231,0.9903995861883049
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9904,10000.0,10000.0
