,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9928861788617886,0.9921121822962313,0.9932367149758454,0.9930761622156281,0.9969325153374233,0.9910313901345291,0.9968454258675079,0.99317738791423,0.9989701338825953,0.9930761622156281,0.9941,0.9941344253701407,0.99410657567791
recall,0.996938775510204,0.9973568281938326,0.9961240310077519,0.994059405940594,0.9928716904276986,0.9910313901345291,0.9895615866388309,0.9912451361867705,0.9958932238193019,0.9950445986124876,0.9941,0.9940126666472,0.9941
f1-score,0.994908350305499,0.9947275922671354,0.9946782776971457,0.9935675408213755,0.9948979591836735,0.9910313901345291,0.9931901519119958,0.9922103213242454,0.9974293059125964,0.994059405940594,0.9941,0.994070029549879,0.9940997455659942
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9941,10000.0,10000.0
