epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.33482618697683014,0.8949333333333334,0.060105326833575966,0.9815,0.05
2,0.133115576188763,0.95835,0.04213365805149078,0.9871,0.05
3,0.10717910106976827,0.9661333333333333,0.03341256692558527,0.9887,0.05
4,0.09715958978285393,0.9696333333333333,0.04029150980720297,0.9867,0.05
5,0.08876768959065279,0.9726166666666667,0.03160806664852425,0.9897,0.05
6,0.08242986084098618,0.9740166666666666,0.02769663458298892,0.9914,0.05
7,0.07849918842415014,0.97585,0.028039905548142268,0.991,0.05
8,0.07480614435325066,0.9768166666666667,0.02672332374108955,0.9918,0.05
9,0.07290712307244539,0.9776833333333333,0.025546445951238273,0.9921,0.05
10,0.06749113732452194,0.9791833333333333,0.026289576645335183,0.9918,0.05
11,0.0688156517210106,0.9784166666666667,0.026970445802994073,0.9913,0.05
12,0.06422915529410045,0.9797666666666667,0.025656341323582455,0.992,0.05
13,0.06553966175963481,0.9794833333333334,0.024685366943432017,0.9924,0.05
14,0.06376679844533403,0.9798833333333333,0.026200298951612785,0.9919,0.05
15,0.06213787271355589,0.9804,0.0265384071205277,0.9918,0.05
