epoch,train_loss,train_acc,test_loss,test_acc,lr
1,0.3692792097553611,0.8779333333333333,0.05809726016893983,0.9818,0.01
2,0.04857542221657932,0.9846833333333334,0.03962423853576183,0.9873,0.01
3,0.03269562629043746,0.98985,0.03888523787527811,0.9869,0.01
4,0.025046482296212345,0.9918666666666667,0.02925682029824238,0.9902,0.01
5,0.02000911634530639,0.9932666666666666,0.029396614396292715,0.9888,0.01
6,0.015043415543941471,0.9951333333333333,0.03228528973300709,0.9898,0.01
7,0.012071026355418143,0.9962666666666666,0.040843155067088084,0.9866,0.01
8,0.009518775409880133,0.9968333333333333,0.04307448959487083,0.9875,0.01
9,0.008011621350949766,0.9973833333333333,0.027105528398677053,0.9921,0.01
10,0.0063382058533085605,0.9979166666666667,0.029000658384927373,0.9925,0.01
11,0.006576213206102451,0.9979833333333333,0.027181524396387977,0.9923,0.01
12,0.004806927339697965,0.9984166666666666,0.039024566809897625,0.9899,0.01
13,0.00426525786245414,0.9985166666666667,0.03558725739446638,0.9921,0.01
14,0.004173180188729505,0.9985333333333334,0.03100305572132365,0.9918,0.01
15,0.0028628806009424806,0.9991333333333333,0.0322108621634031,0.9926,0.01
