,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9939024390243902,0.9947229551451188,0.987535953978907,0.9930555555555556,0.9969356486210419,0.987736900780379,0.9968454258675079,0.99706457925636,0.9989690721649485,0.9940535183349851,0.9941,0.9940822048729194,0.9941166464138187
recall,0.9979591836734694,0.9964757709251101,0.998062015503876,0.9910891089108911,0.9938900203665988,0.9932735426008968,0.9895615866388309,0.9912451361867705,0.9948665297741273,0.9940535183349851,0.9941,0.9940476412915554,0.9941
f1-score,0.9959266802443992,0.9955985915492958,0.9927710843373494,0.9920713577799801,0.9954105048444671,0.9904974846282839,0.9931901519119958,0.9941463414634146,0.9969135802469136,0.9940535183349851,0.9941,0.9940579295341083,0.9941013682204158
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9941,10000.0,10000.0
