,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
precision,0.9938962360122076,0.9947136563876652,0.995159728944821,0.9921026653504442,0.9938775510204082,0.983370288248337,0.9957805907172996,0.994157740993184,0.9958847736625515,0.9910625620655412,0.9931,0.993000579340246,0.9931126754106148
recall,0.996938775510204,0.9947136563876652,0.9961240310077519,0.995049504950495,0.9918533604887984,0.9943946188340808,0.9853862212943633,0.9931906614785992,0.9938398357289527,0.9890981169474727,0.9931,0.9930588782628383,0.9931
f1-score,0.9954151808456444,0.9947136563876652,0.9956416464891041,0.9935739001482946,0.9928644240570846,0.9888517279821628,0.9905561385099685,0.9936739659367396,0.9948612538540597,0.9900793650793651,0.9931,0.9930231259290089,0.9931001859633863
support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9931,10000.0,10000.0
